Version;Num of thread;Elapsed Time (s);Speedup;Efficency
Serial;1;0.014475;1.000000;100.000000%
OpenMP_v1;1;0.088557;0.163453;16.345328%
OpenMP_v1;2;0.197162;0.073417;3.670837%
OpenMP_v1;4;0.283770;0.051010;1.275242%
OpenMP_v1;8;0.584812;0.024752;0.309395%
OpenMP_v2;1;0.018647;0.776278;77.627768%
OpenMP_v2;2;0.013391;1.080987;54.049347%
OpenMP_v2;4;0.013157;1.100160;27.503996%
OpenMP_v2;8;0.070216;0.206149;2.576861%
