Version;Num of thread;Elapsed Time (s);Speedup;Efficency
Serial;1;0.005761;1.000000;100.000000%
OpenMP_v1;1;0.080527;0.071541;7.154085%
OpenMP_v1;2;0.182835;0.031509;1.575464%
OpenMP_v1;4;0.262759;0.021925;0.548125%
OpenMP_v1;8;0.566378;0.010172;0.127146%
OpenMP_v2;1;0.010920;0.527572;52.757222%
OpenMP_v2;2;0.007832;0.735597;36.779864%
OpenMP_v2;4;0.007716;0.746632;18.665798%
OpenMP_v2;8;0.008197;0.702844;8.785555%
