Version;Num of thread;Elapsed Time (s);Speedup;Efficency
Serial;1;0.007027;1.000000;100.000000%
OpenMP_v1;1;0.080523;0.087267;8.726749%
OpenMP_v1;2;0.183723;0.038248;1.912390%
OpenMP_v1;4;0.260087;0.027018;0.675446%
OpenMP_v1;8;0.541768;0.012971;0.162131%
OpenMP_v2;1;0.006093;1.153347;115.334726%
OpenMP_v2;2;0.007797;0.901244;45.062215%
OpenMP_v2;4;0.007308;0.961605;24.040119%
OpenMP_v2;8;0.009596;0.732283;9.153536%
