Version;Num of thread;Elapsed Time (s);Speedup;Efficency
Serial;1;43.145430;1.000000;100.000000%
OpenMP_v1;1;103.077800;0.418572;41.857151%
OpenMP_v1;2;149.091350;0.289389;14.469461%
OpenMP_v1;4;214.497043;0.201147;5.028674%
OpenMP_v1;8;354.879404;0.121578;1.519722%
OpenMP_v2;1;40.058314;1.077066;107.706555%
OpenMP_v2;2;37.404747;1.153475;57.673736%
OpenMP_v2;4;36.311619;1.188199;29.704976%
OpenMP_v2;8;35.653478;1.210132;15.126655%
