Version;Num of thread;Elapsed Time (s);Speedup;Efficency
Serial;1;33.676771;1.000000;100.000000%
OpenMP_v1;1;94.127306;0.357779;35.777898%
OpenMP_v1;2;138.779209;0.242664;12.133219%
OpenMP_v1;4;207.323722;0.162436;4.060892%
OpenMP_v1;8;337.578935;0.099760;1.246996%
OpenMP_v2;1;30.271784;1.112481;111.248055%
OpenMP_v2;2;28.325998;1.188900;59.444987%
OpenMP_v2;4;27.368593;1.230490;30.762242%
OpenMP_v2;8;26.300686;1.280452;16.005652%
