Version;Num of thread;Elapsed Time (s);Speedup;Efficency
Serial;1;1.767902;1.000000;100.000000%
OpenMP_v1;1;8.012245;0.220650;22.065000%
OpenMP_v1;2;13.605520;0.129940;6.497003%
OpenMP_v1;4;19.849597;0.089065;2.226622%
OpenMP_v1;8;36.107119;0.048963;0.612034%
OpenMP_v2;1;1.776981;0.994891;99.489079%
OpenMP_v2;2;1.604465;1.101864;55.093200%
OpenMP_v2;4;1.539177;1.148602;28.715054%
OpenMP_v2;8;1.501141;1.177706;14.721321%
