Version;Num of thread;Elapsed Time (s);Speedup;Efficency
Serial;1;4.051424;1.000000;100.000000%
OpenMP_v1;1;17.486314;0.231691;23.169114%
OpenMP_v1;2;27.640320;0.146577;7.328830%
OpenMP_v1;4;40.799711;0.099300;2.482508%
OpenMP_v1;8;68.681180;0.058989;0.737361%
OpenMP_v2;1;4.001665;1.012435;101.243453%
OpenMP_v2;2;3.599752;1.125473;56.273653%
OpenMP_v2;4;3.502138;1.156843;28.921080%
OpenMP_v2;8;3.343173;1.211850;15.148124%
