Version;Num of thread;Elapsed Time (s);Speedup;Efficency
Serial;1;10.095489;1.000000;100.000000%
OpenMP_v1;1;35.107440;0.287560;28.755982%
OpenMP_v1;2;55.713127;0.181205;9.060243%
OpenMP_v1;4;79.335822;0.127250;3.181252%
OpenMP_v1;8;132.671579;0.076094;0.951173%
OpenMP_v2;1;9.595187;1.052141;105.214094%
OpenMP_v2;2;8.585537;1.175872;58.793579%
OpenMP_v2;4;8.530418;1.183469;29.586735%
OpenMP_v2;8;8.202390;1.230798;15.384980%
